filename,bodyshape
1.jpg,'21'
2.jpeg,'0'
3.jpg,'11'
7.jpg,'21'
8.jpg,'11'
9.jpg,'11'
10.png,'3'
12.JPG,'31'
13.JPG,'21'
14.png,'21'
15.png,'0'
16.png,'41'
17.jpeg,'0'
18.jpg,'31'
19.png,'41'
20.jpg,'5'
21.jpg,'11'
22.jpg,'21'
23.jpg,'2'
24.jpeg,'5'
25.jpeg,'3'
26.jpg,'11'
28.jpg,'11'
29.jpg,'31'
31.jpg,'21'
32.jpg,'3'
35.png,'11'
36.png,'31'
37.png,'11'
38.jpeg,'5'
41.jpg,'0'
42.jpeg,'0'
43.jpeg,'21'
44.png,'11'
45.jpg,'31'
46.jpg,'0'
48.jpg,'11'
49.jpeg,'3'
50,jpg,'21'
51.jpg,'11'
52.jpg,'2'
53.png,'21'
54,jpg,'21'
55.jpg,'31'
56.jpg,'51'
57.png,'3'
58.jpg,'31'
59.jpeg,'3'
60.jpg,'11'
61.png,'3'
63.png,'5'
64.jpg,'41'
65.jpeg,'3'
66.jpg,'21'
70.png,'41'
71.png,'31'
73.jpg,'31'
74.jpg,'51'
75.png,'21'
76.png,'21'
77.jpg,'11'
78.jpg,'11'
79.jpg,'31'
80.png,'0'
81.png,'3'
82.png,'3'
83.jpg,'21'
84.jpg,'2'
85.jpg,'11'
86.jpg,'41'
87.jpg,'2'
88.jpg,'41'
89.jpg,'31'
90.jpg,'2'
91.jpg,'21'
92.jpg,'3'
93.jpg,'5'
94.jpg,'3'
95.jpg,'3'
96.jpg,'3'
97.jpg,'2'
98.jpg,'21'
99.jpg,'31'
100.jpg,'0'
101.jpg,'3'
102.jpg,'31'
103.jpg,'3'
104.jpg,'51'
105.jpg,'3'
106.jpg,'2'
107.jpg,'2'
108.jpg,'3'
109.jpg,'3'
110.jpg,'0'
111.jpg,'51'
112.jpg,'3'
113.jpg,'3'
114.jpg,'51'
115.jpg,'3'
116.jpg,'2'
117.jpg,'3'
118.jpg,'3'
119.jpg,'41'
120.jpg,'5'
121.jpg,'3'
122.jpg,'2'
123.jpg,'3'
124.jpg,'3'
125.jpg,'0'
126.jpg,'31'
127.jpg,'31'
128.jpg,'51'
129.jpg,'2'
130.jpg,'0'
131.jpg,'2'
132.jpg,'21'
133.jpg,'3'
134.jpg,'41'
135.jpg,'2'
136.jpg,'3'
137.jpg,'31'
138.jpg,'3'
139.jpg,'31'
140.jpg,'2'
141.jpg,'3'
142.jpg,'3'
143.jpg,'3'
144.jpg,'3'
145.jpg,'41'
146.jpg,'2'
147.jpg,'3'
148.jpg,'2'
149.jpg,'2'
150.jpg,'21'
151.jpg,'11'
152.jpg,'3'
153.jpg,'2'
154.jpg,'31'
155.jpg,'2'
156.jpg,'2'
157.jpg,'3'
158.jpg,'21'
159.jpg,'0'
160.jpg,'31'
161.jpg,'3'
162.jpg,'41'
